delito,diasem,mes,tipov,longitud,latitud
398,5,2,7,1,-71.5477773,-33.002663
399,5,2,12,1,-71.5240738,-33.035421
400,5,2,18,1,-71.6120351,-33.6029701
401,5,2,18,1,-71.6107242,-33.6128648
402,5,2,20,1,-71.5392361,-32.9773258
403,5,2,22,1,-71.6175349,-33.6117658
404,5,2,23,5,-71.5716088,-33.0284972
405,5,2,23,1,-70.6037447,-32.8394016
406,6,2,2,4,-71.4331951,-33.050288
407,6,2,6,2,-71.6073115,-33.5640877
408,6,2,14,1,-71.4988459,-32.9904756
409,6,2,18,1,-71.407372,-33.052066
410,6,2,19,1,-71.237328,-32.9103776
411,6,2,19,1,-71.6043791,-33.0441987
412,6,2,21,2,-71.5628915,-33.0262547
413,6,2,23,6,-71.5505355,-33.1262318
414,7,2,4,2,-71.534277,-32.7885414
415,7,2,12,6,-71.5468142,-32.956689
416,7,2,22,3,-71.5417948,-32.9322166
417,7,2,23,2,-71.5613356,-33.058589
418,7,2,8,5,-71.2185153,-32.7927252
419,1,2,4,1,-71.5348705,-33.0552578
420,1,2,10,2,-71.5436001,-33.0020034
421,1,2,11,6,-71.4952287,-33.1936321
422,1,2,11,6,-71.4952287,-33.1936321
423,1,2,12,3,-70.6519389,-32.7784274
424,1,2,22,5,-71.5913136,-33.041601
425,1,2,22,2,-71.5471794,-32.9851934
426,1,2,23,1,-71.5417948,-32.9322166
427,1,2,23,2,-71.5514361,-33.022563
428,2,2,2,3,-71.4439791,-33.0500721
429,2,2,3,1,-71.2656988,-33.0091592
430,2,2,23,1,-71.6188512,-33.0616582
431,3,2,2,1,-71.5179136,-32.9257626
432,3,2,3,1,-71.5513425,-33.015153
433,3,2,4,1,-71.3819026,-33.0444241
434,3,2,7,1,-71.4233481,-33.0428735
435,3,2,21,1,-71.4376512,-33.0495088
436,3,2,23,1,-71.5539701,-33.0208583
437,4,2,2,2,-71.556894,-33.023666
438,4,2,3,2,-71.5082515,-33.0352016
439,4,2,5,1,-71.4052479,-33.0630611
440,4,2,8,2,-71.5907793,-33.0372249
441,4,2,11,1,-71.5974355,-33.0544209
442,4,2,11,1,-71.5420328,-32.9758854
443,4,2,16,2,-71.2737698,-32.9846431
444,4,2,22,1,-71.5117414,-33.0257695
445,4,2,23,1,-71.580516,-33.0470032
446,5,2,1,2,-71.5480472,-33.0081896
447,5,2,9,2,-71.5162531,-33.0155299
448,5,2,12,1,-70.7330738,-32.7530041
449,5,2,13,1,-71.2390744,-32.8676354
450,5,2,14,6,-71.3888201,-33.0245074
451,5,2,15,1,-71.4448911,-33.0518545
452,5,2,19,1,-71.6144934,-33.0450508
453,5,2,20,1,-71.6258266,-33.4987418
454,5,2,21,1,-71.546944,-33.0265738
455,5,2,21,1,-71.546944,-33.0265738
456,6,3,5,3,-71.5429763,-33.012129
457,6,3,6,1,-71.5425254,-32.9726823
458,6,3,8,2,-71.3572309,-33.0430529
459,6,3,8,1,-71.5071197,-33.0022956
460,6,3,21,3,-71.5451875,-33.0107519
461,6,3,22,2,-71.5514361,-33.022563
462,7,3,1,2,-71.6097917,-33.6122028
463,7,3,3,1,-71.5402809,-32.7941158
464,7,3,4,1,-71.4440235,-32.5075486
465,7,3,5,1,-71.6033068,-33.0486892
466,7,3,5,4,-70.731665,-32.7589866
467,7,3,8,1,-71.6033068,-33.0486892
468,7,3,10,1,-71.5593252,-33.0455673
469,7,3,16,1,-71.531633,-33.0340976
470,7,3,20,1,-71.5630464,-33.0283334
471,7,3,22,1,-71.5449305,-33.0176272
472,7,3,22,1,-71.5069398,-33.0052055
473,1,3,11,1,-71.6195714,-33.6027974
474,1,3,23,1,-71.5469288,-33.0221567
475,1,3,23,2,-71.3773393,-33.0411287
476,2,3,0,2,-71.5771991,-33.0586101
477,2,3,0,1,-70.9729754,-32.837865
478,2,3,7,1,-71.2342369,-32.4544451
479,2,3,13,1,-71.4008193,-33.323887
480,2,3,14,3,-71.5558107,-33.1081129
481,2,3,19,1,-71.5449305,-33.0176272
482,2,3,19,1,-71.5514042,-33.0240542
483,3,3,2,1,-71.4869697,-33.0329961
484,3,3,10,2,-71.4214164,-33.0713935
485,3,3,13,2,-71.3629386,-32.9787747
486,3,3,14,6,-71.6033068,-33.0486892
487,4,3,1,1,-71.6133624,-33.0570505
488,4,3,15,2,-71.6027302,-33.5151347
489,4,3,19,1,-71.605043,-33.5536616
490,4,3,21,3,-71.4384306,-33.0503998
491,5,3,0,1,-71.4423521,-33.0607874
